ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
29,45,,9,40,30,,,,,,,14,,32,,8,,,,18,,,,31,16
30,,23,36,46,,,,,,,69,26,14,,35,,39,,,,,61,,52,
31,,54,26,,,,50,38,,,,,,58,,40,,,63,21,,,36,70,
32,,51,40,,65,,,43,,,79,,26,,,,,,62,,73,,41,63,
33,,,19,,,,45,6,45,,,28,,,,12,25,21,,13,51,,,,
34,,48,,,,,61,40,80,,,,,,,58,,,64,34,,82,,62,38
35,,12,17,,44,,,,,,,,6,48,14,14,12,,,,,52,20,,
36,46,32,21,,,,,19,,,58,,,33,,,,23,,,62,58,20,,
37,,,,80,,,74,,,,,,,86,80,47,,,,47,,88,69,70,30
38,40,,,,46,38,,,,,,,12,34,17,,30,,,22,,57,11,,
39,,,,100,83,,,65,100,,,,,,,70,82,83,,,92,86,,90,
40,,35,,45,46,,,,,,,,8,,20,26,31,,34,,61,53,,,
41,,80,,84,86,85,,,,,96,94,47,,77,69,,,95,,,,,,
42,69,75,,,,60,73,,,60,74,,50,,,,71,60,,,,,,70,
43,72,,36,,,,,56,,,,67,52,82,,53,77,,,,89,,61,,
44,,76,,,92,90,91,,,,100,100,,,,,,100,,,98,96,,89,
45,,,,,,,32,,,7,,22,,36,20,20,13,,,,40,39,,,4
46,,70,,,,,,48,,,87,70,,,,,87,75,76,,87,,62,,34
47,68,55,,80,87,,,53,,,,,41,,,,,,69,,75,87,60,,
48,18,,,27,,13,,0,24,12,48,,,,,14,,,33,,,,,47,
49,,,37,,,66,,,65,,,61,32,72,,55,55,,,,,72,,78,
50,,,,,,,,29,53,44,,,,,35,44,51,,,,64,70,48,,21
51,,,65,,,78,84,,83,,89,84,,95,,74,,77,,47,,,,,
52,55,,,,,,37,,54,26,57,20,23,30,,,,,,,,,,34,15
53,45,,8,,,21,30,,,,,17,2,,,,13,,,21,,,7,,2
54,,49,32,,78,,74,,,52,,51,50,,,,,,,33,,69,41,,
55,49,20,14,,60,,42,17,,,,,,,,,,,,24,58,52,,52,
56,43,,17,,57,,45,21,,21,,,18,,,,,,,7,,56,23,,
57,,,54,,,,,64,89,68,89,,,,75,,96,98,,62,,,,85,
58,,,14,,56,,38,,35,33,75,,22,,,,,,,12,,,30,,23
59,,36,,,,,,22,,26,,,,48,,35,48,,,,53,59,,42,24
60,43,6,,,,20,32,,,,62,10,,,,,,,,,49,,12,49,14
61,86,95,61,,,,,,,,100,,,95,78,,93,94,97,,,,,100,
62,76,45,,,,,,,,,73,,29,,,43,,,,37,70,67,50,66,
63,90,,,94,,,,,83,79,,,51,,,,98,81,84,,,,70,,46
64,,,,87,91,88,,53,81,,,,65,,60,52,,,,37,,89,,,
65,,,34,56,,51,,,,35,,,,71,,46,53,,55,,78,76,,,
66,,94,46,,,79,,,,55,87,,,90,,,,,,31,,97,66,89,
67,,37,,,,20,36,,,,57,,13,,,31,29,33,40,,,70,,,
68,,69,,,,69,,,,,,,,,51,,,64,72,52,83,,39,65,41
69,51,,,,,43,,22,,,73,40,28,,42,,36,34,52,,,,,,
70,,50,,,63,50,69,,,,82,,30,47,35,,,,,,,,,51,37
71,,92,,,81,86,,71,,,91,87,,85,69,,,,,44,,,,85,
72,,,,21,,,29,9,23,3,,,5,,,9,8,,15,,,,5,,
73,,77,,,100,,100,,100,62,,,,,,,,,99,35,,92,,82,37
74,26,,,,,,20,0,,0,,0,,19,2,,12,,,8,,,,,9
75,,75,,,,73,86,,,41,,,,77,,,,,87,57,87,,81,,26
76,54,,,55,,19,,,,,63,,,,,,15,25,,20,,52,29,34,
77,,,,64,,51,66,42,,42,75,,,71,,,,60,,,,70,,60,
78,,58,35,,68,,,,,38,,54,42,,,52,47,58,,,,,,73,
79,86,68,,,77,,,47,,,86,,,,66,,,70,79,,,87,,85,
80,93,95,74,90,,,,,,,,,,94,94,,91,92,,,,100,69,,
81,,16,,,,,,14,,0,31,,0,,,,,,,6,39,51,,25,3
82,,,58,,84,,,,,,100,74,57,97,76,,,,,,,100,,99,42
83,70,,28,,,61,,43,,,82,63,29,57,,,,,,,,,,57,15
84,,,,26,,,28,1,,,,,1,18,,,0,,,3,51,49,0,,
85,58,24,,32,,,,25,,11,52,39,,,,,25,,32,,,,17,,
86,,,,84,99,,,,,62,,89,50,,71,72,,,,61,,96,,85,
87,,,,57,67,,,,66,,,,,,28,21,,,45,,62,64,19,,22
88,59,,27,55,,,42,,,32,,,,,,,29,,,22,,55,,55,21
89,,,,99,,90,,,97,,,85,,100,72,,,94,,62,,100,,90,
90,,,,,,,,45,65,39,,44,34,58,,47,41,,,,62,,,,30
91,,,,,28,,29,5,37,,49,11,6,17,11,,,,,,47,,,,
92,,,,,30,4,,3,10,7,,8,,11,,,,,,4,,42,,,0
93,,,,,,72,,56,69,54,,59,54,,,,,,,44,74,85,47,,
94,,,,49,66,58,51,,,,80,,30,,,,52,43,,,71,77,,,
95,,,,,,8,,0,,,54,11,,37,9,1,,,29,,,,,16,10
96,,5,,14,27,,34,7,,,48,,,,3,0,,,12,,,,,25,
97,,,56,,78,,73,,,40,86,,,84,66,,,,87,,80,,59,,
98,,,24,,,45,67,36,64,,,,,66,41,,,,,19,,,35,69,
99,,24,,,,,,4,45,,,,15,,,20,10,,,5,40,63,,38,
100,,38,29,44,60,,44,,,,78,,,,23,26,,,,,,,29,56,
101,70,,30,81,79,,,,,,,,29,,,,,,,48,83,,50,64,25
102,,,10,,,,,,31,,44,9,0,,,0,,,,5,,33,8,,11
103,,,,68,45,,,,51,15,,44,,58,45,,,41,56,,72,,,,
104,42,,31,49,,,38,,46,27,,,,,,,26,,32,,,,22,,6
105,80,57,35,,73,,72,48,59,,81,,,,,,,49,,,,,,66,
106,,76,,,82,88,,,,74,,,53,94,,,86,80,99,,,,,,54
107,,,23,,52,,60,14,,,,29,,40,,,,,,9,,46,37,48,
108,,,,,,1,,0,,,,3,0,30,6,,,0,,,36,,,12,5
109,,,3,,,,,8,28,,51,,11,25,5,,15,,,,,34,18,,
110,,8,,,,8,31,,29,,46,,,,20,7,,,20,,,45,,,10
111,79,69,,,,93,,55,,67,86,,,92,,62,,,84,,,86,,,
112,,,,,87,,,,,69,95,,62,,84,,84,,,53,,100,86,,56
113,90,92,60,86,93,,,59,,53,,80,,,,,,,83,,78,,,,
114,,,,72,68,55,,47,58,,,51,18,48,33,49,,,,,,,,,
115,86,,,,,,,,,,98,89,,89,,,100,91,100,,91,,65,,41
116,,57,,,71,,74,,55,,,53,40,,,34,,,,33,,,,64,29
117,,12,6,,39,13,,,,0,,,,,0,2,,0,24,,,,,20,
118,,,,37,,,53,33,55,14,,22,,,,,37,,26,,,52,,59,
119,,46,33,,83,74,,,,43,,54,,70,43,,,68,,,,73,,,
120,,42,,73,62,45,,,,25,74,37,,65,,,,,50,,,,,,18
121,68,,,48,,37,,,66,39,,,,,,,34,,55,,,66,,64,12
122,77,,,,83,,,58,76,60,,70,,,,,,77,,40,90,,,75,
123,,,,,,56,,,,37,,,,76,,35,,73,,43,76,72,50,,28
124,,,,88,,,,59,,71,,,36,93,79,,89,,78,,94,85,,,
125,65,40,32,,72,,68,,67,,,37,,,,,58,,57,,,68,,,
126,37,,,,,19,30,8,,,65,18,,,10,,,,,15,,,19,,15
127,71,37,23,,,,,47,,,74,45,,,,,,,,,58,,27,53,16
128,100,,,91,,95,100,,,54,,77,63,,93,,,100,,73,,,,,
129,,24,7,,,,49,12,,31,63,28,,,34,29,,,,29,,,,,
130,,17,,39,46,,41,23,,,,25,,30,,,,,,22,,50,,,19
131,56,,,,,12,42,,29,,,19,,,19,,25,,,,57,,7,40,
132,62,50,,69,,,64,,64,36,80,,,,,,,,60,,,,,62,24
133,,,64,92,91,,86,,,,96,,,87,,,,81,99,,93,87,,,
134,,,,35,29,,,11,,0,,0,,,,,,,,5,43,42,0,,6
135,,,46,,,60,,32,76,,,46,30,,,45,,49,,,,65,41,,
136,37,,13,36,35,0,,,,10,30,,,,10,,,,,7,,33,,,
137,68,,,,,,42,37,55,,,34,36,,,,35,41,,,,72,,51,
138,54,51,,,,43,63,,,,,40,34,,,42,,,,,,63,32,,29
139,,44,,,39,,,,58,,,38,,,,,26,,38,,59,71,,42,18
140,,92,70,91,100,92,,,,,,,,,89,,95,,100,,,100,,,56
141,42,,6,23,32,,,12,26,,,8,,34,,4,,,,,,,0,,
142,59,,,,65,44,,,,,,,21,,,39,41,35,54,,,,41,,22
143,92,,,75,,,88,,,61,,,54,80,,,,,92,48,,82,,76,
144,61,,20,,65,,,,60,,75,,,50,44,44,,,,25,59,,,,
145,,,16,,,9,34,5,,17,54,,,,14,,21,,,,,40,,22,
146,41,,,20,,,,0,,,25,,0,28,,0,,,10,,49,,,,0
147,100,100,,,,85,,,,63,,,56,83,85,,100,,,,,,,94,39
148,68,21,,39,,29,46,,,,75,,,40,,21,,42,,25,,,,,
149,,,,,21,,19,2,22,,,,,4,10,0,,0,,6,,46,,,
150,,19,4,38,38,,,14,,6,,13,,,25,,,,32,,,47,,,
151,,8,,,32,13,,5,,,35,9,,28,,,1,,,,56,,,,11
152,,88,,100,100,100,100,,100,83,,,,,,,,,,,100,,,91,60
153,67,51,,54,,48,,,,,67,43,,,,33,,,,15,70,66,,,
154,,,49,,86,,,,99,53,,94,,81,,,84,,,43,92,,,85,
155,,,6,,33,0,,,,0,,0,9,,0,,8,,19,,55,,,,
156,,,,,36,,39,,34,,35,,2,17,11,0,,,,,41,,,,0
157,,0,8,,,,,,15,12,44,1,1,,8,9,11,,,,,,,,
158,,,16,,35,,,,,13,56,,,36,,,,,49,,74,55,16,,8
159,,,,,69,41,,,,23,,,13,42,37,,,,51,,57,,23,64,
160,25,12,,,27,,27,,,1,,,,23,,,7,0,14,,46,,,,
161,95,,,90,,,,,89,,86,,50,78,,52,,86,,53,,,,90,
162,,44,45,,,,71,32,58,,,,35,66,,,60,,,34,,,55,,
163,,75,,,89,90,,59,,,97,83,,78,,,,81,,52,94,,,,
164,87,77,62,,,,98,,,,,,,98,88,76,79,,90,45,,,,,
165,,,12,,50,,46,,53,,70,32,21,,,13,32,,,26,,,,,
166,,58,,62,68,,,34,,,78,50,36,57,43,,66,,,,,,,,
167,,90,64,91,100,86,,,,,96,,52,,,,,98,,,99,,,91,
168,60,,,52,,42,60,,53,,,46,,,54,29,59,,58,,,,,,
169,60,,,,75,58,,,,42,,,18,58,,39,54,,45,,,65,,,
170,82,,50,,63,62,,,,31,,,,59,54,,,,,,,66,,78,45
171,69,,,,60,,,,73,41,64,,42,59,50,,,,63,26,,,,,
172,80,,42,,86,,83,,,,87,,33,,64,,,,72,,82,,47,,
173,,,38,,,46,,,,,56,30,29,66,33,,,,57,,,,,59,27
174,34,13,,22,,20,,,,,,,2,11,18,16,5,,,,,,0,,
175,,,,25,18,,,0,,5,37,0,0,,0,,,,4,11,,,,,
176,,,,,52,27,,36,,,64,36,10,,,28,,23,,,,64,32,,
177,56,,,,47,,,24,42,,51,,,,,,27,,35,21,61,51,,,
178,,,,26,,,33,5,,8,,,,33,,,4,5,,12,,,1,,0
179,,0,,,,12,22,,27,0,44,,,10,,,,,,0,,,0,9,
180,,10,,,41,16,,,35,,,25,,,,,,16,24,18,,51,,,13
181,42,,0,19,,0,20,9,24,,47,,0,,0,,,,,,,,,,
182,,4,8,,,,,3,,,45,0,,20,1,,9,,,,43,,,36,
183,,,,73,,68,64,57,,31,84,,,74,,,55,,,,,,49,,37
184,66,,38,57,,52,,43,,,,48,,66,53,,,48,,,,69,,,
185,94,100,,,,,97,65,85,65,,,,91,,64,87,,,60,,,,,
186,,,72,,,,94,,,,,,,100,83,67,94,98,,46,90,,,100,
187,,,,65,,,43,,,,64,,,,35,,,44,,31,65,,26,55,22
188,,100,,,100,84,,72,,59,,,54,85,70,80,,,,,,,,94,
189,,,,90,,,,82,97,58,,,,,100,,,91,100,44,,,66,96,
190,51,,,32,,,,12,31,,48,21,,,4,,,,,,52,,,37,13
191,,,,,45,34,,30,,,72,32,,50,,,40,,,17,62,74,,,
192,,42,26,,64,40,51,,51,,58,50,,,,,,,,,,56,,60,
193,92,,,,,93,100,,95,65,90,,,100,,,100,,,49,97,,,,
194,49,,,,,4,35,,37,21,53,,18,33,,,,,,,,,,16,12
195,,,,,,,80,,,,85,,57,,67,59,74,,85,35,,,64,,44
196,41,31,,51,,,,,43,,,17,18,36,26,,25,,,,,,13,,
197,,,,40,,,46,,44,27,61,,,23,27,,12,33,,21,,,,,
198,90,,,,83,,,59,,,,81,56,96,72,,,87,,54,,91,,,
199,,,,,38,16,53,7,25,,,,,20,,,16,,37,19,,39,,,
200,,,,,,68,84,38,,38,,70,34,,,,,62,,,78,85,,,26
201,24,,,36,36,18,,6,,,43,,,35,,,,16,,,,48,,39,
202,72,,25,,60,,,,55,,,,,36,31,37,,,,11,,64,,53,
203,52,,7,,38,21,,18,35,,,,,,,,,13,,,,58,,37,15
204,,,,46,41,29,50,,34,26,,,,,,25,34,,44,,,,26,,
205,,,71,,95,100,100,,,,100,100,63,,,,,,100,,,93,,,46
206,,,,,,,,,,47,,,41,,68,,98,89,93,59,,,66,88,49
207,,,,,,,63,,64,,74,,,68,54,,42,41,57,,79,,,,13
208,,,,,69,,,26,54,,,29,,,42,36,31,,,,,74,,61,22
209,56,,,64,,,39,,65,,73,31,,,,,,44,60,,,61,33,,
210,,,,81,,,96,,,,,,63,85,,65,78,93,,38,87,,,78,
211,,35,,66,67,,,30,63,,66,,,50,,,,,50,,,62,,,27
212,,,,47,,,60,,,15,,,,50,,,40,33,,,63,,27,56,13
213,99,93,,,,,100,,,53,95,,,100,,,100,100,,,,,,93,65
214,61,,19,60,,,,42,,,,,21,,42,22,,49,,,71,,46,,
215,,,19,,43,30,49,,,,44,,,23,27,,,,29,,,67,21,,
216,67,,,,73,,57,,63,48,,,36,,,59,,55,61,25,,,,,
217,,,,,,,,27,,22,,,13,49,,,,23,50,,44,61,16,44,
218,58,,,48,46,31,,,,9,,21,,,16,,,,40,,,56,,48,
219,56,,11,,,,,25,,12,60,,,31,,,,,,12,47,46,,30,
220,,,,49,64,,,40,,45,,,16,,,30,,45,,17,,,47,58,
221,,,,72,,67,,,,48,,,44,,39,60,,57,,,,76,44,73,
222,73,,,59,65,,67,45,75,,,,27,,53,,,66,,,61,,,,
223,59,,,37,,23,41,,,,62,,,,,,29,23,53,21,,56,,,
224,96,100,73,,95,,85,,,,,,,,72,,91,,85,61,,,59,,
225,,,0,,37,,,0,,,,,,15,,,0,,0,9,,32,,21,7
226,,,20,45,52,,,35,,24,73,,,,33,34,38,,,,,53,,,
227,52,,15,,,,50,29,58,,,31,10,,,27,,,,,52,55,,,
228,,36,,,,,56,35,,,70,27,,,,,,27,,24,61,,34,48,
229,52,13,,,,,,,39,,,19,,,,19,26,,,2,59,,3,42,
230,,2,5,26,,0,,,31,,,11,0,,,0,,,,3,,,,,0
231,,91,57,,,,92,,,,100,79,,,,,88,,89,,,99,75,100,
232,,5,,28,36,7,,,,,49,1,,,,3,,,13,8,,46,,,
233,,,,74,67,,,,76,31,,,44,,51,,,51,,39,,,,71,26
234,55,,13,,54,,,,30,15,,,,,,,,19,34,,52,65,,,18
235,,,,,65,,59,43,,,76,,,66,39,,,,50,,,63,32,,12
236,,75,59,80,89,66,,,,60,,,,86,,,,,,,74,77,,,47
237,68,,,,,72,86,54,,47,,70,,,,,,,,38,,77,,72,39
238,53,31,,57,50,,56,,66,,,39,,,,,,,42,,,,,45,32
239,,,,,97,,100,73,91,72,,82,,97,87,,,100,,,,,74,,
240,,48,20,,61,,,17,62,,,,,56,22,20,,,,,,,,61,12
241,47,25,32,,,37,52,,,,,,18,,,30,,,49,,77,,,,19
242,,35,,40,55,,,26,52,35,,38,,,30,,49,,,,63,,,,
243,,,45,,,,80,44,72,64,89,,,,67,,,84,,,89,,,89,
244,,,60,67,90,,,,75,,,,,83,,,,80,,,81,80,47,,36
245,98,,,,,92,,64,100,,98,100,,100,,,,,96,,,,,92,43
246,,,,,,95,100,,98,,,79,49,,,,,92,,60,85,90,69,,
247,69,,,,,,67,,68,35,66,,,61,,,,,,39,81,71,,,20
248,,,63,,,,,58,84,64,90,66,,79,61,,,,78,44,,,,,
249,,20,,,,,,,,,,26,,59,,33,30,32,,11,58,55,,52,
250,,77,,,,,,,79,,,83,45,87,,,72,,82,,,81,53,,47
251,,,11,46,43,,,22,,,57,,,,25,24,,,,,,59,19,,5
252,82,,55,80,,,,63,98,57,,,,,,,82,,87,,,86,,,32
253,,43,,,61,,,21,47,,74,,,,30,33,,,52,,,,44,,19
254,,,26,,,30,53,,,23,,40,,39,42,,,41,34,,,53,,,
255,,55,49,82,,67,,36,,,,,,77,48,,,58,,,,,50,,30
256,85,88,58,,93,,,63,,,97,,,,,66,74,,81,,,,64,,
257,,,,,32,11,,,,0,,0,,,,1,11,0,9,,,,9,31,
258,59,,,,36,25,48,,,,,,24,,17,25,,,,17,,,18,33,
259,57,,,59,53,54,56,,,,,45,,,,,53,37,,16,,,,,25
260,,,39,68,,,58,,,41,,,28,50,41,,,47,,32,81,,,,
261,,,44,65,,78,,,73,49,,61,,64,68,,,60,,,,,,83,
262,,,54,,86,67,,,,60,,,,,,54,73,62,,33,,,59,82,
263,29,,0,,,6,,,,0,37,,4,,12,9,0,,,,,,8,,
264,86,66,39,86,,74,,44,,,,,,,,,62,71,,,,,52,,28
265,,42,34,54,60,,52,34,,,,,,55,,,,60,,,,61,,62,
266,,58,,,88,,,,,40,88,71,52,,61,,,82,,51,,,,76,
267,71,,52,75,,56,75,,83,36,,,,,52,,70,,,,,,56,,
268,34,12,,,,0,32,,,,48,,11,,,,0,14,,16,,,,38,
269,,82,,,,,,,,,,,59,78,61,,83,79,,45,,96,58,,41
270,,,,,45,,,,27,,52,,,,0,8,27,21,,,,44,0,38,
271,,,,,,100,89,,100,,,87,,,,79,,97,100,,100,100,66,,
272,60,62,,,,64,58,,,,65,,,,,,,,58,41,,,47,60,18
273,,15,,,,2,33,,,,52,,16,,16,,7,,,,42,48,3,,
274,,,,,29,,,,21,7,,,,37,10,,18,3,,10,45,43,,,
275,,4,,29,38,0,,11,,,,11,,,0,,,,4,0,,,0,,
276,71,,,,61,,,,,,81,,,65,,27,58,64,,30,63,,42,,
277,49,,3,33,,,,,56,,62,,,32,14,,,,,6,,,8,,6
278,,,,52,73,,66,,,41,71,,28,,,45,,44,,17,,,25,,
279,67,,44,61,,,,46,,41,76,,38,56,52,28,,,,,,,,,
280,,,,54,73,,57,,66,36,,,,,56,47,,,51,27,,,43,,
281,,,,56,,,,26,53,33,56,,,,30,,,,40,11,,71,16,,
282,,,,31,,,35,,36,,,18,0,23,5,,,27,,,36,,0,,
283,,,,29,,7,,,32,7,60,,,16,,,,5,,,51,,7,,0
284,54,11,,41,32,,,,41,13,63,,,,,,,,,,59,40,,43,
285,,,41,86,,,,,,34,87,,,,,50,,68,71,49,,,,76,38
286,,,33,62,,51,,,57,,66,,40,53,35,44,,,,35,,,,,
287,94,95,68,,,,,59,,50,,77,35,81,,65,,,,,,,,94,
288,40,16,0,,,,,,31,,,,,26,,,12,,15,11,,,13,30,
289,,59,,71,83,68,,,,,83,62,,,,,,71,,,73,75,56,,
290,,,48,100,,,,,100,,94,,60,96,,,,,100,,97,,,100,38
291,,81,45,91,72,,,,,,,,,89,,,72,88,,,,87,,80,34
292,,,,,,,26,13,,18,,,16,33,,17,,,21,9,,60,,33,
293,,39,,,,47,,27,46,,,48,,62,,,49,39,45,,,,33,,
294,90,83,71,,,92,,,,,99,,,,,,93,100,,62,100,,,100,
295,47,29,,,40,,,25,,,,15,15,,27,,,,24,,49,,,,15
296,81,,53,63,80,,75,,77,,,51,,,,36,,,,,70,,,,28
297,,51,,,,40,,25,64,,,,,52,,,42,,64,,60,76,,,31
298,91,,,,,,,,95,,79,,,85,65,61,74,,,60,,,,85,42
299,33,,,26,43,,41,,,,,12,,,24,11,13,,,,49,,,,15
300,43,20,,37,54,,,,48,,,,,,,,17,32,,7,,55,,,4
301,,,,89,,,79,,86,44,,,48,,,46,,,,44,,,66,83,41
302,,23,25,,59,38,,,,,,,28,,39,19,34,,,,,,17,,18
303,,62,,,76,,,48,,46,,,,,,55,77,63,,,,94,,71,33
304,,,51,97,97,,,,,70,,84,72,,,,,,95,56,,,81,,40
305,,,,93,93,,,,,,,,58,89,91,,100,89,98,,,86,73,,
306,70,54,39,77,65,57,,,,34,,,,,,,,62,,,86,,,83,
307,97,,,94,,,,,,,,82,,98,66,,,89,98,66,,100,,,51
308,67,33,,,,,61,31,,29,,,,54,,,47,39,,35,65,,,,
309,,15,5,,,,40,,,,54,10,,,,,9,,31,16,,36,,37,
310,,,,,,,68,44,,37,79,45,,76,52,36,,,,28,,,,,40
311,,37,,,,27,58,34,,,,,,,32,,,30,37,23,70,,,45,
312,,10,,14,,,,,36,9,44,,0,27,,,,,8,,,29,,9,
313,97,,,,87,,,57,,,,,,,73,64,,,95,,83,,58,100,49
314,,,40,,60,73,,32,,,,53,,,,45,,,,24,75,,65,70,
315,,,61,91,,,,,93,51,95,,38,,,,84,76,73,,,86,,,
316,68,,39,,,,,,,42,,,52,,60,,76,62,,47,,82,63,,
317,53,23,,,,,,5,27,,67,,12,,24,13,12,,,,,,25,,
318,82,89,,,88,,,60,98,,99,,,88,,62,,77,,,,,,,56
319,,,,15,31,0,22,,,,,,,7,0,0,,,,0,,,9,,0
320,,49,,56,74,,,42,70,40,86,,26,,,,,49,50,,,,,,
321,,,,,,3,33,,20,,43,,,39,3,,,0,,9,,,,26,7
322,,,,,,,,27,28,,,23,17,,30,26,15,,,,,,16,32,15
323,85,,38,,,69,,,65,,,55,39,74,,55,72,,73,,,,,,
324,,,51,85,,75,69,,,,,62,,64,56,,,,,45,91,,,,48
325,,57,54,70,,,,,89,,88,79,,,67,,71,,71,,,,,,33
326,,,,53,,53,,,66,,68,52,26,,,41,,,,40,74,,,72,
327,,,,51,65,,,34,58,,,,30,50,49,,,,52,,69,75,,,
328,,31,,,,,,,,,,,24,,,16,22,23,44,10,61,,29,46,
329,83,,,,,86,,,,47,93,90,,,63,66,80,,,,95,,,90,
330,63,,10,41,,,48,,,21,,,,36,,,29,,,5,54,,,37,
331,68,,,,63,71,,,82,,93,,,71,62,,,,,24,,,49,82,
332,32,9,,,,,28,,,0,35,,,,,,8,,7,,,,5,28,0
333,,,,,95,,95,60,,,,,47,91,,,,95,81,54,87,,,,33
334,46,25,37,,64,,,15,,33,,,32,,,,,39,,,,,,49,23
335,,36,29,,48,29,,38,56,,61,,,,37,,,,,,56,,,41,
336,69,61,,,73,,,40,,47,,,,,,36,62,55,,27,,87,,,
337,,,0,,,,15,,,,52,5,0,,,0,0,,,14,57,,,25,
338,,,,72,,,60,29,,44,,49,22,,,,,51,,,67,82,53,,
339,,,,69,71,70,,,74,46,,,40,71,,54,,,,,,78,,,39
340,100,90,,,,,,,92,,,93,57,95,,,93,,,,,100,86,98,
341,78,,,,,,71,,,,76,60,48,86,60,61,,,,,,78,,72,
342,74,,,,,,,41,61,38,,,,,,,62,52,,27,84,67,50,,
343,,,,64,,,,42,59,,,,,58,47,52,68,59,,,,,42,80,
344,,52,29,60,63,,55,,,47,,50,,,,32,,,,,83,,43,,
345,54,,,45,37,,,26,,,,,,,24,27,,,29,,57,,28,37,
346,,,0,17,31,,28,,40,,,,,7,,,,17,,,45,,0,24,
347,69,,43,66,71,,,53,,,,67,,,47,52,,,,32,71,,,,
348,,91,,,98,94,,62,100,,95,,,93,,80,,87,,51,,,,,
349,,,,95,,100,100,,,67,,,62,100,,71,100,,96,,,,97,,
350,98,,60,,,,,,,,100,,60,,85,,89,100,,61,,100,,100,
351,,,21,,57,46,,,,21,,40,,58,26,37,32,,54,,,,,,
352,,79,,,82,,94,,85,69,,,,91,61,,82,,,,79,,,85,
353,,34,,61,59,,57,,,,69,,,,,32,,41,,,68,61,32,,
354,,,66,,,,,58,,63,,74,,,,,94,,95,39,,,60,90,61
355,44,,10,,37,12,,,,,,11,16,23,,,,,33,,50,,,27,
356,26,,,,,,33,,37,,42,,3,24,3,,,,,,56,,0,24,
357,,,,,,13,,11,,13,46,10,1,,23,,19,7,,,,,,,15
358,,22,,,66,39,,,53,37,,,,52,,,33,30,,,63,,,48,
359,32,,4,32,38,13,26,,,,,,,,,,,4,15,10,,,,21,
360,,,,,,,4,,,0,,,8,2,0,,,,29,0,,,5,7,3
361,,0,,,,,,,,3,,10,,,12,,6,0,,6,,51,16,43,
362,,,,37,51,,,,,,61,,13,30,,,40,22,,22,,55,,51,
363,47,,16,53,47,,,30,,18,,23,,,,21,,,,,,57,,38,
364,85,,37,,,,,51,,,79,,53,,,,,82,,36,,85,,77,37
365,,78,40,77,78,79,,,77,40,77,53,,,,,,,,,,90,,,
366,58,28,,,,37,,,,,63,,33,44,,,42,,,,,63,42,58,
367,95,,,94,,,98,,,53,86,,,,,76,97,84,,42,,98,,,
368,66,52,,,,58,67,,63,,,,,,44,58,,,65,,,75,,,22
369,,53,,,56,,57,31,58,,,55,,,49,47,,54,,,,74,,,
370,,63,,70,,69,,,,,94,,,68,,47,71,66,,45,,,43,,
371,85,,,,,,63,,72,,,,38,,62,54,,,,,77,84,54,78,
372,,43,,,56,45,,26,,29,,,33,55,,,,50,,,65,,,65,
