ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
52,,8,71,,,,,,,13,,,,0,43,63,28,,,20,,12,,12,
53,9,,,51,50,,0,,,,,21,,11,,,10,,18,,0,,,5,
54,59,,72,,,7,24,67,,,,,63,,77,,,37,,,63,23,,,
55,33,16,,,37,,,,0,,0,,,23,87,,29,,,,,,,14,55
56,,12,88,70,,,,,,19,,,38,,,,28,24,3,6,,,,0,
57,90,,82,,100,0,,97,28,,,,,,,,82,,,,77,30,,10,
58,35,,74,79,34,,,,14,,,,,,70,,17,,,19,18,,64,,
59,,26,90,,28,16,,78,31,,13,50,,,,44,,,9,,,,,,
60,7,,,70,,,,82,16,,,24,,,,21,,6,,,7,,42,,17
61,,,,,,49,36,,,69,21,,,32,,,,,56,89,40,36,,54,
62,55,,86,55,,,,,30,21,19,,,,,,50,,28,35,,,,23,
63,77,62,,,,4,,,68,,69,,95,,,,80,,,81,,,,5,91
64,,,,,90,,,91,63,,41,,77,21,,,60,59,,,,,71,,82
65,,,95,75,,4,41,85,22,33,,,,,,58,,,,73,,,,,90
66,,,100,100,100,12,,,53,,,,,23,91,,64,,4,59,,,,,
67,18,,82,79,,,0,,,7,,,,1,,,,,16,31,29,,44,,
68,,,86,60,93,,,,44,38,,,59,14,,69,,,,,43,,,,82
69,33,,,,,0,18,,,30,11,28,,,,,31,,0,,,,51,,65
70,,28,,,,,,76,,,,27,,0,69,44,,,10,34,19,,,33,
71,,,84,,,46,,90,,,,,,,96,,69,45,68,,36,,,26,100
72,14,,,,,,,,0,,,2,,,80,22,4,,0,,,13,38,,35
73,,,,,,39,,,,53,47,100,94,,,91,,87,,57,,,100,,92
74,0,1,,,,0,10,,,,13,,,,34,,,0,12,,13,,,16,
75,64,67,,95,,,,,,78,,76,84,,,78,41,77,,60,,,,,
76,,25,,,,,,49,,9,,19,,3,,,27,,,27,,22,48,18,
77,62,,84,,,0,,76,42,,,,,,,,48,,7,,,7,81,18,
78,,46,,,58,,,,,,,72,,31,77,72,39,,0,,,5,40,,
79,,41,,,82,,,64,23,,,,,,,87,,57,,54,63,39,,,62
80,,44,,,86,,46,100,40,74,,69,100,,,,,,,,85,79,,,
81,14,,44,55,,,,,,,,5,,,28,0,,,,10,0,4,,,31
82,,,100,100,,,,100,,,39,,,,,100,,52,,64,,61,91,,92
83,58,,,,,,,82,40,6,,38,,,,,,33,12,,59,8,81,,
84,9,0,58,,,14,,43,,,,8,10,,,,,,3,6,,,24,,
85,22,18,,,,15,,,22,,2,,30,,64,,23,,,18,,,56,,
86,,41,,100,,47,,,,,,,100,26,90,89,99,,,60,,,,46,
87,,34,,,69,32,,,,,,,72,,,,,28,2,,,0,25,23,49
88,46,,,,,,11,100,,,,32,,,52,58,,,,39,2,,,13,38
89,,33,,,100,,,100,77,40,,,83,16,,,,,,,50,75,,68,
90,,,,,59,33,25,,,31,,,,,63,,38,,,10,,,83,13,45
91,0,0,,20,,0,,,0,2,0,,,0,,,,,,,0,,30,,
92,,,,,,0,,76,,15,0,,19,0,,,,,,,,5,10,0,0
93,69,46,,,,,,83,,36,29,,,,64,77,,,10,,36,40,,,
94,36,55,,61,,,,,,,6,,,18,74,64,,,,,,14,54,31,
95,9,0,,46,,,,,0,,8,,25,,,,0,,,0,,,0,,30
96,,,76,,,,,,,17,15,0,29,,,9,0,0,,14,,,12,,
97,57,49,,83,,,5,,,,32,,,18,,,,,20,,60,,83,,69
98,,50,99,61,34,,,,,,,54,68,0,,77,,63,,,,11,,,
99,5,,62,,,,,,9,,11,,,,59,,21,,,8,14,,37,20,
100,41,,75,51,,0,,74,,3,,,,24,,84,26,,0,,,,,,
101,53,43,,,,2,,,39,51,8,,,0,,,,,35,,,30,,23,
102,,,65,22,,,,,,,0,,,0,,47,17,1,0,,5,,,,0
103,,,,,39,,,,29,,31,42,49,17,69,,,31,,,,,,8,42
104,,,44,41,54,,15,,0,,,,24,,,42,21,,,37,,,,7,
105,,35,,,58,48,10,70,52,32,,,50,,,,,41,,,,,,,77
106,,62,,,85,,31,99,,,29,,,,99,,83,,,55,64,,,,76
107,45,,79,,,,,97,1,,3,,,,,78,,,9,,,22,33,0,
108,,,,81,0,5,,34,0,,,,0,,59,,,,0,,,0,,3,
109,6,1,57,44,,8,,,,12,,,,9,,24,,,,,15,,0,,
110,,23,82,28,50,,14,,,,,,,,,,,7,,,6,19,28,,36
111,96,,,100,,21,42,,46,53,53,,84,,,,69,,50,,,,,,
112,,80,,,80,,45,,44,,,,,,100,,49,49,,57,64,32,,,
113,,,,,,28,28,,,,18,78,,,95,89,,42,20,33,89,,,,
114,,47,73,54,,,22,,,,41,,,,,,35,55,,31,,,,43,80
115,83,57,,87,100,17,,96,,,66,,,,,88,45,,,,,,,58,
116,58,,,57,,,,86,,,,,58,0,54,,54,41,13,37,,,,,
117,0,,89,,,0,0,,,10,,,17,,,,0,,,,0,7,28,,
118,,,,,,3,0,96,5,,33,,62,16,,68,,9,,20,,,,,
119,60,,,,80,1,30,,,,,44,,41,100,,,71,,,25,,,,59
120,50,,,,,24,,79,12,,8,,,,,62,,,,,25,38,,1,53
121,,17,93,67,67,,7,55,,,,,60,,,,30,37,,,33,,,,
122,68,,86,,,,,80,,,,,69,22,,90,,53,,,43,,80,36,
123,,62,,95,,,,,,,8,,60,0,83,,,49,34,65,61,,,,
124,84,30,92,86,,,,,,,,,,,,84,,35,20,,,33,,33,74
125,67,52,,61,,,,,,7,20,53,66,14,,74,,,,42,,,,,
126,0,,,,48,,,80,,,0,,,4,,,15,0,,,,,63,13,45
127,,,,63,,9,35,,22,23,15,,,,,,,41,,26,,,,1,50
128,60,,,,,,,100,,66,,100,87,55,,,,,,47,35,17,96,,
129,,,,,,3,,51,20,,11,,,21,,49,17,13,4,,,24,,,
130,36,30,,80,20,,11,,,,,,,7,84,33,,,3,,,,,,37
131,,16,,,39,,,,14,,22,32,,,74,9,15,,15,6,,,,,
132,,,,68,,,31,88,,,,,,14,100,78,,,31,25,,,,19,67
133,,,96,,100,,,83,,,39,100,,,,,,,46,57,34,60,100,,
134,,0,48,61,50,,6,,6,,,,,,46,,8,,13,,,0,,,
135,70,,,,55,17,,,42,15,24,,,27,,,42,,,,,31,,,69
136,,0,,74,27,,14,,,,,2,32,,,,,,16,10,,0,,7,
137,,,,78,,,13,76,,,14,41,,,,81,,45,,33,22,25,,,
138,,,,,,,14,,,33,38,55,58,,70,,,,1,34,11,,,,28
139,,10,,,,,18,,,23,13,34,,0,65,,1,21,,,,26,,,
140,,59,100,,,25,,,,56,18,,96,,100,,,,,61,45,,100,,
141,,,,,24,0,,66,0,,12,,50,19,39,,8,,,,,0,,,
142,29,43,74,,57,,3,,,,,,50,,,,,5,15,,,,47,,68
143,,,,83,91,,,,,,,,,8,100,88,38,50,,,,51,81,36,
144,35,10,,,,0,,,,,,,,11,68,,,23,20,,38,,,28,71
145,,19,,,57,8,9,,,10,,,,,18,,0,0,,2,,18,,,
146,,11,,,,,,,,,,0,0,0,83,36,0,0,,0,,,,12,
147,60,,,,,38,,,65,81,,,,,,,72,,60,86,,48,89,,97
148,25,,,,36,0,,,,,23,,,0,69,64,,,,,35,35,,8,
149,,,28,,,,,39,,,,,0,7,,58,0,7,3,,3,,,,29
150,,23,91,,57,,,,,10,0,,,17,80,,,12,,,7,,,14,
151,12,,89,26,30,13,,44,,,12,,,,,,,,,,,16,0,0,
152,,42,100,,,,33,87,74,,36,100,,,,,,,,100,,,,45,87
153,48,,,,51,,,,4,35,32,,38,,57,,,,,,22,,74,,38
154,,67,86,,,17,55,,,,31,70,,,93,99,,,,,,48,,,100
155,,6,,22,5,,,,,9,,16,21,10,,23,,17,,0,,,,,
156,,0,89,,,0,,56,,,,,52,,21,,0,,2,,,,,0,0
157,,2,78,52,52,,0,,,,2,,,,,60,,0,0,,13,,,,
158,,,,63,,9,,,,6,,16,64,12,77,,18,19,,30,,,,,
159,,31,,,,14,,54,,,23,32,57,,,,34,,,,21,34,,,35
160,6,,82,,,,0,45,0,,,3,,13,41,,0,0,,,,,,,
161,,,,,,28,,,67,,,,68,24,81,,40,,17,26,55,,91,,
162,48,48,,,,19,,86,30,,,54,,,91,68,,,,,,22,,39,
163,64,,,,,42,40,95,,,46,77,,28,,,,80,22,,,,,44,
164,87,72,,,,25,,,,,64,64,,,,,,89,,56,41,,93,34,
165,31,,,,,0,,,13,,,19,,,60,42,17,,,,14,,59,,40
166,,54,,73,,39,13,,23,,6,45,55,,,72,,19,,,,,,,
167,,,100,,,,,,75,,40,,,,100,100,67,,43,,,60,84,,97
168,,,,69,,,,,21,25,23,,,23,72,,,35,0,19,,17,,,
169,,,100,63,,,12,94,28,,40,44,,,79,,,39,,,,,67,,
170,,,,,,13,11,,15,,13,,,14,,76,,48,,,17,,70,9,
171,37,,91,,,,,62,,,25,,55,22,,,,47,9,46,,,,,52
172,,71,,,74,,,64,,,,,50,,,,62,45,39,41,58,,,,64
173,,,,,,15,17,,23,41,,,44,,95,,,36,12,33,,8,,,
174,2,,81,,,,,49,12,5,,,36,,,,,,0,7,,16,16,,
175,0,0,,,0,0,,,,,,,,7,,,,,0,,5,0,46,,0
176,29,21,,74,,,,,,,0,38,61,12,85,,,,,,,,,16,42
177,,,65,56,,20,,,,,,,34,,73,,5,7,,,,29,,4,25
178,0,,,,,,,,,0,,21,31,,65,,17,,0,0,,0,,0,
179,,,,,,,,55,13,13,8,,,0,,1,0,0,,13,,,,,28
180,,,,,,,1,45,5,,,,,0,62,60,,2,,,,8,55,,59
181,,7,,,,6,0,,0,3,,,,,,,,0,,,9,0,27,11,
182,,1,57,,8,0,,,,,,5,,,69,69,,0,,,7,,,6,
183,,,,,,,,,,,,47,65,,89,66,25,49,17,57,,,81,4,
184,45,,,,85,12,,,37,23,,43,,4,75,,,,20,,,,,14,
185,,,84,85,,,31,,48,,40,,,16,,,,94,,46,51,50,,,
186,79,,,86,,,,92,,46,25,,100,,,100,90,67,,,,,,47,
187,,,88,,,,0,61,,,12,,37,,72,77,30,,,30,,,,24,
188,55,,84,92,,13,,81,,,37,,86,,,100,,,,,,41,100,,
189,100,,100,,,,,,,35,,,93,,100,,84,87,60,,,59,,,100
190,,1,,,,,0,67,,8,,6,,,,,11,,0,,20,14,,,24
191,41,,,,,,15,93,,,,,37,,68,,,,,,34,18,43,8,53
192,,35,79,66,45,,0,,36,,35,,36,,,49,,,,,,18,,,
193,,69,,,,,2,100,,,,,,23,,,51,100,35,,77,60,,7,
194,,,48,44,,,12,,0,11,14,,34,,,58,,,,10,,,,,52
195,67,60,,85,,9,,,,37,,,89,,,,60,,,,83,35,,19,
196,31,15,94,,64,,,,,6,,40,48,,57,26,,,14,,,,,,
197,6,,56,,53,,18,90,,2,4,,,,,,,,18,,,,17,,37
198,,,,87,97,,,,58,,,84,,,91,,,,13,74,65,,99,,88
199,,5,,,15,0,,90,15,25,,2,,,44,65,,,,,20,,,,
200,82,,77,,66,,36,,,37,,,,,,,27,73,10,,,32,,,68
201,,,,57,35,,10,56,,6,19,,,,84,55,,,0,,,,21,,
202,,,,71,32,,25,,,,,39,31,,,,33,,20,22,,24,,,39
203,8,,,,59,,17,,,,,,59,,44,,,,,11,12,0,,0,0
204,34,,,,,,,,0,19,,,50,7,42,45,,,,22,3,24,,,
205,,77,,,,34,17,,41,,57,100,,45,,,,,,,,73,92,,88
206,91,,,100,96,,36,,43,,,,,,98,88,,64,22,60,,,,,
207,,,,50,,,,86,16,,30,,65,,,,,34,,,44,34,38,25,
208,22,,,69,77,0,,81,,17,,,,2,,,39,,,37,,40,,,
209,,42,,44,,9,,,,27,,,42,30,,,,,7,,30,,,3,48
210,,,100,,79,0,,78,62,49,,,,31,74,,37,,,46,,,,,
211,,36,72,,76,,,,28,,,,39,,59,,,50,22,,,,74,1,
212,,20,,,,,,,,12,34,,,20,53,,,,16,40,2,10,,16,
213,88,,85,,,,58,,47,,,,,,100,100,,,,69,,38,,21,88
214,56,,,52,,14,,100,,20,,50,,,73,,,28,4,,,,47,,
215,,,,35,28,,,,8,,5,,28,,,57,,35,,,5,,44,13,
216,28,35,84,,75,,,,7,,45,,69,17,,90,,,,,43,,,,
217,,2,71,67,47,,,,,,,16,,,31,,,36,0,,,,63,,77
218,29,11,,,,,,,30,,,,,0,,65,19,5,,,8,,46,20,
219,,,,,,7,0,,,,4,0,19,9,53,46,3,,,,5,,,,
220,,34,,,,,,,45,,35,,,,82,,,52,15,,30,,37,15,39
221,,56,,,,0,,,33,,53,,62,5,,,41,,,79,,31,,,70
222,,40,75,66,,,,,23,,,79,,,,54,57,19,,,,9,,,70
223,,,,,,3,,78,36,36,20,,57,,,,26,,0,25,,,,,45
224,92,99,,,98,12,,,,,13,,,19,,84,,,39,,,16,97,,
225,14,0,,,,,0,65,,0,,,8,,,0,0,,,0,16,,,,
226,,32,,80,47,,,,17,35,37,20,,,,,,42,,36,23,,,,
227,,7,54,,,2,,55,,41,3,,,0,,,24,,,4,,25,,,
228,,21,80,,,,,77,,43,,,,0,44,,25,,,,40,38,,,60
229,,,86,24,,,,,29,6,0,12,,,,,,,11,0,,,52,,18
230,,5,,0,,,9,,,,3,,,,,,,9,14,,0,14,24,,2
231,82,63,,100,,44,63,,13,,,93,97,0,,93,,,,,,,,,
232,,,73,,,0,,32,0,,18,,0,,,,,,,,0,,15,0,8
233,69,,,,61,,20,,40,43,,,76,,,,54,47,,,52,,63,,
234,,,,,,16,1,,1,,,15,35,,,,23,18,,,9,13,33,,
235,,13,63,,,0,,,7,,15,,,,,48,,55,,19,19,0,,,
236,76,,,76,,,,95,,,65,,,21,97,,51,67,,,,33,82,,
237,97,31,,,79,,,,35,,20,,,,78,,41,,,,54,50,,,70
238,48,,86,53,,,20,74,,,27,,,8,72,72,,,,,,,,9,
239,,72,100,,100,,50,,36,91,,,,,88,,,,67,85,,,,31,
240,,24,,,41,,,80,25,,25,,,,,,,30,,39,42,,66,,59
241,,17,,,,21,17,48,,,,,18,,96,,,,17,,19,28,37,,
242,,28,,49,37,32,,,,10,22,,,,90,,,56,16,,,,67,,
243,,,94,87,,49,35,,,,36,80,65,,70,90,,,,,,,89,,
244,90,,99,,,,10,94,,43,,64,65,,,91,,,,54,47,,,,
245,,,,,,26,,100,,36,24,,100,33,,,100,,,,63,,92,,100
246,69,,,100,86,,0,,,,,75,,1,100,,,,,,,77,85,28,
247,,,,58,,,,,35,,,,63,18,72,,,,,,40,43,49,12,69
248,85,84,84,97,,,,,,56,,,65,,,74,,41,24,,,,,22,
249,48,10,,80,,,,,4,,,34,53,,49,,,,9,41,9,,,,
250,,44,78,100,,,16,,,,,,,,,89,42,,31,,,45,73,6,
251,17,,,,36,,,47,,,18,45,,3,,60,28,,,,13,5,,,
252,,62,100,,,7,,,11,,,,,42,92,,,,,,,24,89,61,77
253,25,20,,,,4,,64,,,,30,,,,76,,,11,,34,18,,16,
254,,35,85,63,,,,,,,24,,,22,69,,,44,,,22,,55,17,
255,46,22,,100,99,,,,15,38,61,,,,,79,28,,39,,,,,,
256,,,,,,,,97,,14,17,85,87,24,,78,42,,,,,,94,,99
257,,11,76,,56,,3,,,18,,,,0,,,0,,,,,0,47,17,
258,,0,45,62,,,,,,,19,11,,8,,,6,,10,3,,,,9,
259,,44,,91,,,,51,,21,,36,66,,,54,,,,,30,16,61,,
260,41,,100,,,0,,,,,,20,62,,,79,,,0,42,41,,,,61
261,,15,,,76,33,6,95,,,17,,,28,,,40,,47,,,,,26,
262,,44,,,72,19,,,,,57,,,,,87,,58,,48,29,43,,7,
263,,,42,22,,0,,,0,,,2,,,,46,,,,0,0,12,,,22
264,,,,76,87,,,86,59,,,80,,0,,,,,,39,34,,93,15,
265,,,77,66,64,,,,,,43,,,21,,59,,44,4,26,,,,12,
266,93,42,,88,,26,37,76,59,,19,,,11,99,,,,,,,,,,
267,52,,,73,,16,43,82,51,,,66,,,,61,46,,,,,,82,,
268,,,47,,,6,,,7,,0,,20,0,,,,5,6,,21,,,4,
269,,41,,,76,,,,32,,46,77,73,,,76,65,52,,66,,,,,
270,0,,,,,,0,,,2,,16,50,0,,,,4,17,,,,0,10,
271,,60,,100,,,,100,,50,60,,,61,,,,,,73,77,,100,,96
272,57,,,,,12,,,,44,12,,,22,,,40,,13,48,,56,,6,
273,15,19,,,,9,,51,,25,,,,,,,12,2,10,,,4,,,56
274,,,66,,8,,0,,10,0,5,4,,,54,,,,,,,7,64,,
275,,0,,,,0,,,,,0,13,,,37,44,5,16,4,3,,,,,
276,56,,,,,,,,23,17,26,,66,,,,19,62,0,,,,52,0,
277,31,,,46,,0,0,,,,14,,,,,,,16,,12,,2,32,0,
278,,,,63,74,5,10,,25,,18,,,7,,54,,,,,19,,53,,
279,,,91,71,61,4,,,,,21,43,,,,,,57,,42,29,,,37,
280,50,,100,96,,15,,85,,,4,61,,8,,,,,,,,20,,,60
281,17,,,,41,,,42,17,,29,,,12,,,,,,18,47,,34,,30
282,0,0,,,,,,,7,,,,,6,32,64,2,,14,,,,,0,57
283,,,59,,,,,81,11,16,,,18,,55,67,,,,11,21,6,,,
284,28,,,,,,0,,,16,10,7,,,80,3,,0,0,8,,,,,
285,57,45,88,,,43,,,,,,,,,,69,,,20,,36,,70,57,79
286,44,53,62,,,,,80,,,22,45,,,62,,44,,0,,32,,,,
287,100,,,,100,,0,84,,63,,,,,,,,,51,69,,22,78,,88
288,,19,52,50,40,,,,,,14,,33,0,,,,,,,0,,15,,12
289,,,91,,64,,0,,,62,,47,63,,72,79,,,29,,,,79,,
290,67,,87,,93,,19,100,,,,82,100,,100,,,,,,79,,88,,
291,,73,,93,,,,84,,,,82,83,,93,,39,65,,,,,,22,75
292,,5,93,41,,1,,53,0,,0,,,0,,,,22,,,,,23,,
293,,,97,,69,,21,,2,27,,47,19,,,,29,,,,,,,22,65
294,96,35,100,,,,,,92,33,52,,,9,100,,,,,,34,54,,,
295,,,,92,63,,,,9,,0,,,,38,,13,17,5,,25,31,,,
296,,49,,,,10,40,,,69,39,50,77,,,,,32,,,,43,,,69
297,,53,,,,19,,,,,46,37,,,79,62,34,,33,24,,,74,,
298,54,,90,,,32,,,75,,,,77,,,,,,,78,61,41,100,,90
299,,,96,,,,7,,,10,18,,7,10,,52,,,10,,,,52,10,
300,,16,85,,,3,0,,0,24,,,,,,31,,,,20,,0,2,,
301,37,30,,94,98,,,95,,,,,66,,,82,,49,,,,43,64,,
302,35,,82,70,57,19,30,,11,32,,,,,,,,,,,,,48,16,
303,,,,98,,50,8,,55,19,43,,,,,,,70,14,,,,82,,85
304,95,75,,,100,,10,,,26,58,,,15,,100,57,,,,,,,30,
305,,,,,,30,33,,46,21,,,,22,85,,,84,,83,44,,,11,
306,,71,86,,,,,,,38,19,,,36,,74,40,,,44,25,,,31,
307,,81,,100,83,,,,42,,,,95,25,100,,,89,,,50,11,,,
308,26,48,81,64,,14,,,,,,54,,10,76,,,20,,,,,,32,
309,0,,,57,,,,51,,0,15,,,,74,37,,0,10,,,,,,55
310,,,100,,73,15,,,60,,6,,73,5,,47,,,,,34,,41,,
311,35,18,,82,,,,,45,10,,,18,,,,,,,,33,1,63,17,
312,14,2,79,,12,12,,73,,,0,0,,,33,,0,,,,,,,,
313,,,,,,12,19,,45,88,,64,,,,,43,53,,70,,,84,47,
314,,,,89,,29,,78,14,10,39,,,,,,,,,31,,,54,7,73
315,,,,86,,,41,100,31,,43,,,2,80,86,,61,,,,43,,,
316,38,51,,,67,,20,,,,,,,23,,,,,33,,39,37,,31,88
317,31,,,57,,,19,51,,2,0,,,,,,,,7,27,26,,,,57
318,,,,92,91,32,,93,52,,39,,92,,100,,78,,,,,53,,,
319,,,,,,,0,,,,0,,31,,83,40,,,0,0,0,2,20,,
320,58,18,,59,,,27,57,,,,,,,91,56,,15,37,,,,74,,
321,19,0,,,37,,,57,,4,,,19,17,,,,,0,15,,0,,,
322,11,,98,,23,0,0,87,,14,,,,,,,,,,19,,,20,0,
323,,,84,,75,19,6,,49,,,78,,,,71,,,17,,,50,58,,
324,58,34,,76,,24,,74,,,38,,71,,,,,,49,,40,,,16,
325,,63,92,,,44,46,100,,,68,,,,72,,,,,,30,,73,48,
326,63,21,,,,,,,,,,,,,,51,38,,28,44,54,44,54,,82
327,,23,,,58,,,77,,29,,27,,,,73,,29,30,34,,,,,30
328,34,,,79,47,,6,72,,,,,55,,,48,,,,36,24,,,,63
329,,60,87,,,,,89,30,,,72,86,19,79,,72,84,,,,,,,
330,,26,73,,29,0,,,,10,0,,,,,,,,7,10,28,2,,,
331,,13,,63,72,30,,,,62,,,,,,76,,,,,40,26,87,4,
332,,,,48,0,,,67,,6,,7,,0,,44,,,0,,,,,8,33
333,59,25,100,,,,30,79,76,,,60,81,,,,,,,72,,50,,,
334,18,,,72,,,21,,,30,,31,,,,59,,,10,33,,33,,,31
335,,,91,,70,,9,,,46,,,56,,,,,,5,33,33,18,,33,
336,,33,97,75,84,,,,,,,,,18,87,78,59,28,,,,,,10,
337,,,,72,,17,7,,12,,,3,,,,43,,0,,16,,0,3,,
338,34,,,,76,33,,,17,,,67,,,,,,,9,35,61,,62,17,
339,65,78,,,68,37,,,55,,19,,,,,,27,35,,,,40,,9,
340,,68,91,99,,25,54,,53,,,,,14,,96,,,74,,77,,,,
341,72,64,,,,,,84,62,,,,70,,,89,67,,,,,26,,38,82
342,53,,,,,,,89,,7,33,,57,,80,,15,,23,63,16,,,,
343,,55,93,,70,,,,,,,70,70,,,,59,,,32,42,42,,,73
344,68,20,73,82,67,,,84,,,,,87,,,,,,4,,,43,66,,
345,,19,,,51,0,,59,21,6,,,,,,,16,,,31,11,,32,,
346,9,11,46,,,0,,85,,0,,,,,,37,7,4,,,5,,,,
347,,,85,73,69,35,,76,,,58,,,12,,,,,,45,33,,57,,
348,,,95,,92,,,,,,21,100,89,,,95,,43,47,67,,,,,100
349,95,42,,89,94,,,,55,74,,,,,,100,63,,,,75,,100,,
350,,,,,,48,,88,,,21,,,,100,,78,,,80,75,61,,57,100
351,33,5,,89,,10,34,,17,,15,,,,65,,32,,,42,,,,,
352,100,,100,,,,,,37,,50,67,,,93,,,,22,67,,,,37,73
353,,21,,77,,,10,49,,,,,34,,,,,20,,14,40,,59,,57
354,89,,,,,55,,98,,45,78,,100,,,99,,,,51,,57,,11,
355,22,,,,,,9,,1,,17,25,,15,,60,,9,,,10,,26,,
356,11,0,,,42,0,,,,1,4,,,14,84,47,,,,,,,22,,
357,,,83,,69,0,,,,14,,,,15,,40,0,,14,,0,,,,32
358,,33,56,,,,,,,10,,,56,,69,63,,,,,,22,54,30,63
359,0,15,,12,,,9,73,0,,,3,,10,,,,,0,,0,,,,
360,,,37,13,,3,6,,15,0,,,,,71,,,,11,0,,,30,,
361,19,,56,,,,,36,,,0,26,,,92,,11,,,22,,16,5,,
362,,,82,48,,7,10,,,,,22,39,,49,46,,34,,,,,,0,
363,,14,,41,66,1,,79,15,,28,42,,,48,,,,,,,,28,,
364,90,24,,,,,8,80,,,42,,,40,97,,,,,51,,,91,48,
365,,,,80,94,,22,,,,,,,,77,,58,,13,64,31,,,0,84
366,46,30,95,64,,,5,,,,,,30,28,87,,,,8,,,,35,,
367,100,52,,,88,,25,,,,44,,,,,87,75,81,,,,15,,44,
368,,21,,,,,,,,41,29,,,10,72,,,34,,38,,27,64,,58
369,,,100,,,0,,,31,,,51,67,17,,,,46,,,,38,,16,76
370,62,18,,93,,,20,,50,29,,84,,,,65,67,,,,,26,,,
371,71,37,,62,77,,40,,,61,,83,53,,,,,,,,,60,,,76
372,,33,75,,,,,,,7,46,,68,,,,,41,,54,44,22,50,,
