,Finland,France,Germany,Ireland,Israel,Italy,Malta,Norway,Portugal,Spain,Sweden,Switzerland,Netherlands,Turkey,United Kingdom,Macedonia,Serbia,Montenegro,Slovenia,Bosnia,Croatia,Belgium,Greece,Austria,Denmark,Cyprus,Iceland,Estonia,Hungary,Lithuania,Poland,Romania,Russia,Slovakia,Latvia,Ukraine,Albania,Moldova,Armenia,Belarus,Bulgaria,Georgia,Azerbaijan,San Marino,Australia,Czech Republic
Cyprus,25,37,37,28,29,20,20,33,26,38,37,21,25,28,38,18,22,13,23,27,29,27,29,29,29,0,21,15,16,15,14,18,19,3,10,17,9,12,11,5,7,8,11,0,7,4
Czech Republic,5,10,10,3,9,7,3,7,6,10,10,0,6,3,10,1,7,1,4,3,6,5,6,7,6,7,2,4,8,7,6,6,6,0,5,9,5,6,8,3,7,5,7,0,7,0
Denmark,27,39,40,29,31,25,18,35,27,40,39,23,27,29,40,18,23,15,23,26,27,28,31,31,0,28,21,12,15,14,12,16,19,0,10,17,9,12,12,6,7,8,12,1,7,4
Estonia,14,27,26,17,18,12,18,22,14,27,26,10,17,16,27,8,12,4,13,16,18,14,21,17,18,19,15,0,16,16,15,19,20,3,11,18,9,12,12,6,7,8,12,1,7,4
Finland,0,41,41,31,32,27,18,37,29,42,40,28,30,28,42,21,25,17,23,26,28,31,33,32,31,28,19,12,15,13,11,18,17,3,9,17,9,12,12,6,7,8,12,1,7,4
France,32,0,45,35,35,28,23,41,33,46,44,28,33,32,46,20,24,16,27,30,32,33,37,35,34,31,24,16,17,16,16,19,21,3,11,18,9,12,12,6,7,8,12,1,7,4
Georgia,7,14,14,7,9,11,5,10,6,14,13,2,8,4,14,2,10,2,6,5,5,7,10,9,10,9,6,6,12,9,7,10,10,0,5,13,6,9,10,6,7,0,11,1,7,4
Germany,32,45,0,35,36,28,22,41,33,46,44,28,33,32,46,21,25,17,27,30,32,33,36,35,35,31,23,15,17,16,15,19,21,2,11,18,9,12,12,6,7,8,12,1,7,4
Greece,28,41,40,30,31,26,20,36,29,41,39,24,28,27,41,16,21,13,23,26,27,28,0,31,30,27,21,14,17,15,15,18,20,3,10,18,9,12,12,6,7,8,12,1,7,4
Hungary,10,19,19,10,12,12,11,15,10,19,19,6,11,8,19,4,10,3,9,9,11,8,15,12,13,13,9,10,0,11,11,13,14,2,6,14,7,10,10,5,7,7,11,1,7,4
Iceland,20,34,33,25,25,19,20,30,22,34,33,16,23,23,34,13,19,11,20,24,25,21,27,25,26,25,0,14,16,15,15,17,20,2,10,18,9,12,12,6,7,8,12,1,7,4
Ireland,31,44,44,0,34,27,22,41,33,45,43,27,33,31,45,19,24,16,26,29,31,32,35,34,33,30,24,15,17,15,16,18,20,3,10,18,9,12,12,6,7,8,12,1,7,4
Israel,29,41,42,31,0,25,20,37,29,42,40,24,29,29,42,20,24,16,25,27,29,31,33,31,32,28,21,13,15,15,13,18,19,1,11,18,9,12,12,6,7,8,12,1,7,4
Italy,21,28,28,21,21,0,10,25,21,28,27,19,23,15,28,11,17,12,17,14,16,22,22,25,22,18,12,7,12,8,7,7,8,0,3,10,4,7,7,4,6,5,9,1,7,4
Latvia,11,22,22,12,16,11,13,17,9,22,21,6,12,12,22,7,12,4,9,12,13,11,17,13,16,14,11,11,13,14,10,17,18,0,0,18,9,12,12,6,7,8,12,1,7,4
Lithuania,11,22,22,12,15,11,13,17,10,22,21,6,12,11,22,6,12,4,9,13,13,10,17,13,16,14,11,11,14,0,11,16,17,1,10,17,9,12,12,6,7,8,12,1,7,4
Macedonia,25,33,34,23,27,21,15,29,21,34,32,20,23,23,34,0,12,4,8,10,12,24,25,24,26,24,16,10,14,12,9,17,16,1,9,17,9,12,12,6,7,8,12,1,7,4
Malta,18,32,31,22,23,16,0,27,19,32,31,14,20,21,32,11,15,7,18,21,23,19,25,21,22,23,19,16,17,16,16,19,21,3,11,18,9,12,12,6,7,8,12,1,7,4
Moldova,9,17,17,8,12,11,8,13,7,17,16,4,8,7,17,4,11,3,6,8,8,7,13,9,13,10,7,7,13,11,7,13,13,0,7,16,8,0,12,6,7,8,12,1,7,4
Montenegro,21,28,29,19,23,20,12,26,19,29,28,16,21,19,29,5,8,0,5,7,9,20,21,21,22,20,13,6,12,10,8,12,12,0,7,15,8,10,11,5,7,6,10,1,7,4
Netherlands,30,42,42,33,32,26,20,39,31,43,41,26,2,29,43,19,24,16,25,28,30,30,33,32,31,28,22,15,16,15,15,18,19,3,10,18,9,12,12,6,7,8,12,1,7,4
Norway,32,45,45,36,35,28,22,0,34,46,44,28,34,32,46,20,25,17,27,30,32,33,36,35,34,31,24,15,17,15,16,18,20,3,10,18,9,12,12,6,7,8,12,1,7,4
Poland,11,24,23,15,17,10,15,20,15,24,23,8,15,14,24,5,11,4,13,15,17,12,19,16,15,17,13,12,15,13,0,15,17,3,9,16,8,10,11,5,7,7,10,1,7,4
Portugal,30,41,41,34,32,25,18,40,0,42,40,27,30,31,42,19,23,17,27,30,29,29,35,32,32,28,22,13,14,12,14,16,16,3,7,15,9,11,9,5,5,5,9,1,5,2
Romania,13,21,21,13,14,9,12,18,10,21,20,8,11,12,21,8,10,4,9,12,12,10,18,12,15,14,11,12,13,12,9,0,16,2,8,16,9,12,10,6,5,6,10,1,5,2
Russia,12,23,23,15,15,10,16,18,10,23,22,8,12,14,23,7,12,4,11,15,14,10,18,14,16,15,14,13,14,15,11,16,0,1,11,16,9,10,10,4,5,8,10,1,5,4
San Marino,6,12,12,5,8,11,5,9,5,12,12,2,8,2,12,1,8,2,5,3,5,6,8,9,9,8,5,6,11,8,7,8,8,0,4,11,5,7,8,4,6,6,10,0,7,4
Serbia,21,29,30,21,24,20,11,26,20,30,28,16,20,20,30,5,0,1,5,9,9,21,22,21,23,21,14,7,12,11,7,13,13,0,7,16,9,12,11,5,7,8,11,0,7,4
Slovakia,5,7,6,6,3,2,5,6,5,7,6,4,3,5,7,2,3,0,3,6,4,3,7,3,4,5,6,6,4,4,3,6,5,0,0,4,3,4,2,1,0,2,4,0,0,0
Slovenia,26,39,39,29,31,23,21,35,28,40,38,22,28,29,40,7,12,4,0,17,18,28,31,29,30,29,22,14,16,15,15,17,19,2,10,18,9,12,12,6,7,8,12,1,7,4
Spain,33,46,46,36,36,28,23,42,34,0,45,29,34,33,47,21,25,17,28,31,33,34,37,36,35,32,24,16,17,16,16,19,21,3,11,18,9,12,12,6,7,8,12,1,7,4
Sweden,32,45,45,35,35,27,23,41,33,46,0,28,33,33,46,20,24,16,27,30,32,33,36,35,35,32,24,16,17,16,16,19,21,3,11,18,9,12,12,6,7,8,12,1,7,4
Switzerland,33,42,42,32,32,28,19,38,30,43,41,0,31,29,43,21,25,17,24,27,29,31,34,33,32,29,20,13,16,13,12,18,18,3,9,17,9,12,12,6,7,8,12,1,7,4
Turkey,25,33,33,29,26,16,18,31,26,34,33,24,22,0,34,20,19,14,23,29,27,25,28,24,28,24,21,11,7,9,9,13,15,2,8,10,6,7,5,2,1,4,5,0,0,0
Ukraine,9,18,18,10,12,10,10,14,8,18,17,4,10,9,18,5,11,3,6,10,10,8,14,10,13,11,9,7,12,11,8,14,14,0,7,0,8,12,11,6,7,7,11,1,6,4
United Kingdom,33,46,46,36,36,28,23,42,34,47,45,29,34,33,0,21,25,17,28,31,33,34,37,36,35,32,24,16,17,16,16,19,21,3,11,18,9,12,12,6,7,8,12,1,7,4
